TAG,SPECIES,DBH,HEIGHT,L,MAXR,X,Y,Z,UTM_X,UTM_Y
4326,THPL,75.1,36.8,26.0,4.2,133.1,160.4,379.9,581243.1,5074481.4
4327,PSME,118.1,52.5,25.4,5.4,133.6,155.3,380.5,581243.6,5074476.3
4328,TSHE,82.5,47.5,36.6,7.0,126.6,155.2,380.3,581236.6,5074476.2
4329,TABR,24.0,13.8,10.0,3.9,125.6,150.7,375.4,581235.6,5074471.7
4330,PSME,142.0,55.5,29.1,5.7,122.8,157.9,380.1,581232.8,5074478.9
4331,ABAM,54.1,40.0,23.0,2.8,119.4,157.8,379.9,581229.4,5074478.8
4332,TSHE,27.3,24.3,19.4,3.7,118.8,157.8,379.7,581228.8,5074478.8
4333,ABAM,8.6,4.1,1.8,2.0,113.8,155.9,379.8,581223.8,5074476.9
4334,TSHE,14.8,15.1,11.1,3.2,112.6,155.9,379.9,581222.6,5074476.9
4335,TABR,29.3,7.2,3.2,4.2,112.5,159.9,374.6,581222.5,5074480.9
4336,TABR,11.5,2.6,0.1,2.8,111.8,159.4,374.6,581221.8,5074480.4
4337,TABR,18.2,9.5,6.2,3.3,115.3,161.5,374.3,581225.3,5074482.5
4338,TABR,15.2,6.5,3.5,3.1,108.7,155.1,374.8,581218.7,5074476.1
4341,TABR,19.8,6.2,2.8,3.5,124.5,174.7,374.2,581234.5,5074495.7
4342,TSHE,16.8,16.7,12.5,3.2,134.7,152.1,380.5,581244.7,5074473.1
4343,TSHE,43.9,33.7,27.5,4.4,119.7,174.8,379.4,581229.7,5074495.8
4344,TSHE,16.5,16.5,12.3,3.2,116.9,169.2,379.7,581226.9,5074490.2
4346,TSHE,62.7,41.6,33.4,5.5,107.7,159.6,380.2,581217.7,5074480.6
4347,TSHE,32.8,27.7,22.4,3.9,99.1,157.1,380.7,581209.1,5074478.1
4348,TSHE,35.4,29.2,23.7,4.0,103.6,161.4,380.4,581213.6,5074482.4
4349,TSHE,14.5,14.9,10.8,3.1,104.5,163.8,380.3,581214.5,5074484.8
4351,PSME,71.1,41.9,13.2,4.6,101.5,173.8,380.4,581211.5,5074494.8
4352,PSME,111.1,51.4,24.1,5.3,102.8,174.3,380.4,581212.8,5074495.3
4354,TSHE,93.3,50.0,37.2,8.0,106.8,169.9,380.2,581216.8,5074490.9
4355,TSHE,24.0,22.0,17.4,3.5,109.2,167.5,380.1,581219.2,5074488.5
4356,ABAM,19.2,14.6,8.9,2.2,113.3,169.1,379.7,581223.3,5074490.1
4357,TSHE,49.1,36.1,29.4,4.7,102.1,181.6,380.0,581212.1,5074502.6
4358,TSHE,10.2,11.2,7.4,3.0,102.8,183.4,379.9,581212.8,5074504.4
4360,ABAM,7.1,2.9,1.1,2.0,109.6,201.5,378.9,581219.6,5074522.5
4362,TSHE,86.8,48.5,36.9,7.4,105.0,189.2,379.7,581215.0,5074510.2
4363,TSHE,27.8,24.6,19.7,3.7,108.7,195.8,379.1,581218.7,5074516.8
4364,TSHE,59.0,40.2,32.5,5.3,101.0,199.9,379.2,581211.0,5074520.9
4365,PSME,106.3,50.6,23.1,5.2,105.0,199.0,379.4,581215.0,5074520.0
4366,ABAM,10.1,5.4,2.6,2.0,112.7,196.4,379.2,581222.7,5074517.4
4367,PSME,99.6,49.3,21.6,5.1,118.6,189.6,379.4,581228.6,5074510.6
4368,PSME,105.5,50.4,22.9,5.2,119.9,187.0,379.3,581229.9,5074508.0
4369,TSHE,79.2,46.6,36.2,6.7,123.9,184.8,379.2,581233.9,5074505.8
4370,PSME,80.4,44.7,16.3,4.8,122.0,181.2,379.3,581232.0,5074502.2
4371,TABR,8.0,4.6,2.2,2.5,121.3,182.7,374.3,581231.3,5074503.7
4372,TSHE,16.1,16.2,12.0,3.2,120.3,179.8,379.3,581230.3,5074500.8
4373,TSHE,60.0,40.6,32.7,5.4,121.0,178.0,379.3,581231.0,5074499.0
4374,TSHE,68.6,43.6,34.6,5.9,112.9,183.8,379.5,581222.9,5074504.8
4375,THPL,74.6,36.6,25.9,4.2,109.8,183.7,379.6,581219.8,5074504.7
4378,TSHE,8.1,9.3,5.6,2.9,114.7,191.1,379.2,581224.7,5074512.1
4380,ABAM,18.5,13.9,8.4,2.2,128.3,197.9,378.6,581238.3,5074518.9
4381,TSHE,18.9,18.3,14.0,3.3,135.1,194.3,378.6,581245.1,5074515.3
4382,TSHE,36.8,30.0,24.4,4.1,135.5,194.2,378.6,581245.5,5074515.2
4383,TSHE,74.1,45.2,35.6,6.3,135.4,193.5,378.8,581245.4,5074514.5
4384,TSHE,7.6,8.9,5.2,2.9,134.3,192.6,378.5,581244.3,5074513.6
4385,TABR,7.2,6.3,4.0,2.5,133.2,193.5,373.4,581243.2,5074514.5
4386,TSHE,10.0,11.0,7.3,3.0,139.3,194.4,378.7,581249.3,5074515.4
4387,TSHE,38.4,30.9,25.1,4.2,140.6,193.1,378.5,581250.6,5074514.1
4388,TABR,12.3,7.3,4.5,2.8,144.0,199.0,372.9,581254.0,5074520.0
4389,TABR,16.4,7.6,4.5,3.1,148.4,199.2,373.1,581258.4,5074520.2
4390,PSME,91.2,47.5,19.5,4.9,143.6,196.3,378.5,581253.6,5074517.3
4391,TSHE,51.3,37.1,30.2,4.8,145.8,193.6,378.5,581255.8,5074514.6
4392,TSHE,21.7,20.4,15.9,3.4,146.1,193.0,378.5,581256.1,5074514.0
4393,PSME,117.1,52.4,25.2,5.3,140.8,190.0,378.7,581250.8,5074511.0
4394,PSME,77.0,43.7,15.2,4.7,144.4,188.5,378.6,581254.4,5074509.5
4395,PSME,83.5,45.5,17.3,4.8,150.2,185.1,378.6,581260.2,5074506.1
4396,TABR,24.8,13.8,10.0,3.9,149.6,184.6,373.4,581259.6,5074505.6
4397,TABR,22.0,8.9,5.3,3.7,148.3,177.8,373.5,581258.3,5074498.8
4398,PSME,119.9,52.8,25.8,5.4,143.4,182.0,378.6,581253.4,5074503.0
4399,TABR,13.1,4.9,2.1,2.9,142.2,186.2,373.5,581252.2,5074507.2
4400,TABR,11.9,7.0,4.3,2.8,141.4,187.4,373.4,581251.4,5074508.4
4401,TABR,9.5,4.3,1.8,2.6,139.9,186.6,373.5,581249.9,5074507.6
4403,TABR,15.0,5.0,2.0,3.0,135.7,187.0,373.5,581245.7,5074508.0
4405,TABR,11.3,4.9,2.2,2.8,134.3,188.2,373.6,581244.3,5074509.2
4406,TABR,11.0,5.7,3.1,2.7,138.3,181.4,373.6,581248.3,5074502.4
4407,TABR,14.0,7.4,4.5,3.0,136.6,180.9,373.6,581246.6,5074501.9
4408,TSHE,63.0,41.7,33.5,5.6,135.8,182.4,378.8,581245.8,5074503.4
4409,TSHE,21.5,20.3,15.8,3.4,134.9,180.0,378.7,581244.9,5074501.0
4410,TSHE,64.6,42.2,33.8,5.7,131.8,179.0,379.0,581241.8,5074500.0
4411,TSHE,16.6,16.6,12.4,3.2,130.8,180.9,378.8,581240.8,5074501.9
4412,PSME,103.2,50.0,22.4,5.1,128.7,180.2,379.2,581238.7,5074501.2
4414,TSHE,20.3,19.4,15.0,3.4,126.9,182.3,378.9,581236.9,5074503.3
4416,TSHE,37.9,30.6,24.9,4.1,151.8,185.5,378.5,581261.8,5074506.5
4417,TABR,10.2,5.5,2.9,2.7,152.2,176.2,373.7,581262.2,5074497.2
4418,TSHE,36.0,29.5,24.0,4.0,157.3,178.0,379.0,581267.3,5074499.0
4420,TABR,9.7,5.1,2.6,2.6,160.4,182.8,373.7,581270.4,5074503.8
4421,TABR,8.8,5.3,2.8,2.6,160.2,182.3,373.6,581270.2,5074503.3
4423,TSHE,65.9,42.7,34.1,5.8,155.9,186.9,378.5,581265.9,5074507.9
4424,TSHE,27.1,24.1,19.3,3.6,159.2,192.3,378.1,581269.2,5074513.3
4425,ABAM,15.2,10.4,6.0,2.1,156.8,194.5,377.9,581266.8,5074515.5
4426,PSME,154.0,56.5,30.6,5.9,160.5,189.6,378.3,581270.5,5074510.6
4427,TABR,12.5,7.1,4.3,2.8,162.8,190.3,373.1,581272.8,5074511.3
4428,PSME,104.5,50.3,22.7,5.2,164.2,187.9,378.6,581274.2,5074508.9
4429,TABR,18.0,9.5,6.2,3.3,168.5,185.5,373.0,581278.5,5074506.5
4430,PSME,80.6,44.7,16.4,4.8,169.4,184.5,378.3,581279.4,5074505.5
4432,TSHE,98.3,51.0,37.2,8.4,167.1,177.0,379.0,581277.1,5074498.0
4433,ABAM,12.3,7.5,4.0,2.1,171.0,178.3,378.7,581281.0,5074499.3
4434,TSHE,10.4,11.4,7.6,3.0,173.9,179.7,378.2,581283.9,5074500.7
4435,TABR,8.3,4.8,2.4,2.6,172.5,184.8,372.9,581282.5,5074505.8
4436,TABR,9.4,5.1,2.6,2.6,172.5,188.0,372.7,581282.5,5074509.0
4437,TABR,7.9,4.9,2.5,2.5,174.7,193.4,372.4,581284.7,5074514.4
4438,TSHE,11.8,12.6,8.7,3.0,173.3,193.5,377.5,581283.3,5074514.5
4439,TABR,24.8,13.8,10.0,3.9,169.5,198.1,372.4,581279.5,5074519.1
4440,TABR,19.7,6.5,3.1,3.4,167.1,195.3,372.7,581277.1,5074516.3
4441,TSHE,78.5,46.5,36.2,6.7,166.3,191.9,378.1,581276.3,5074512.9
4442,TABR,25.7,11.8,7.8,4.3,176.4,196.7,372.3,581286.4,5074517.7
4443,TABR,40.3,13.4,8.3,5.9,176.5,196.3,372.3,581286.5,5074517.3
4444,TABR,35.2,11.6,7.0,5.2,176.3,195.9,372.3,581286.3,5074516.9
