DBCODE,LOCATION_CODE,KEYWORD_NAME,WEST_BOUND_COORD_decdeg,EAST_BOUND_COORD_decdeg,NORTH_BOUND_COORD_decdeg,SOUTH_BOUND_COORD_decdeg,ELEVATION_MAX_meters,ELEVATION_MIN_meters,SLOPE_percent,ASPECT_degrees
TV010,HPNF                     ,Reference Stand HPNF; Huffman Peak; Gifford Pinchot NF      ,-122.17768700,-122.17768700,45.97506300,45.97506300,,,,
TV010,MPNF                     ,Reference Stand MPNF; Mary's Peak; Siuslaw NF               ,-123.55851300,-123.55851300,44.51221700,44.51221700,,,,
TV010,NWNF                     ,Reference Stand NWNF; North Wilson; Mount Hood NF           ,-121.65757300,-121.65757300,45.09246600,45.09246600,,,,
TV010,SRNA                     ,Reference Stand SRNA; Steamboat Mtn RNA; Gifford Pinchot NF ,-121.74166400,-121.74166400,46.13538422,46.13538422,1350,1350,,
TV010,WLNF                     ,Reference Stand WLNF; Wahtum Lake; Mount Hood NF            ,-121.79667900,-121.79667900,45.58934000,45.58934000,,,,
TV010,WMNF                     ,Reference Stand WMNF; Wildcat Mtn RNA; Willamette NF        ,-122.11820200,-122.11820200,44.34002600,44.34002600,,,,
TV010,YBNF                     ,Reference Stand YBNF; Yacolt Burn; Gifford Pinchot NF       ,-122.17284900,-122.17284900,45.78876500,45.78876500,,,,
TV010,YSNF                     ,Reference Stand YSNF; Yarder sale; Wahtum Lake; Mt. Hood NF ,-121.77992300,-121.77992300,45.57014000,45.57014000,,,,
TV010,BRNA                     ,Reference Stand BRNA; Bagby RNA; Mount Hood NF              ,-122.17277300,-122.17277300,44.94224300,44.94224300,,,,
TV010,RS10                     ,Reference Stand RS10; H.J. Andrews EF; Willamette NF        ,-122.21915148,-122.21828692,44.23366010,44.23303850,626,614,21.26,143
TV010,RS21                     ,Reference Stand RS21; H.J. Andrews EF; Willamette NF        ,-122.13638469,-122.13472670,44.25053878,44.24934705,1218,1177,27.56,177
TV010,RS22                     ,Reference Stand RS22; H.J. Andrews EF; Willamette NF        ,-122.14190600,-122.14016423,44.27489050,44.27363908,1307,1263,30.36,151
TV010,RS23                     ,Reference Stand RS23; H.J. Andrews EF; Willamette NF        ,-122.12585145,-122.12401831,44.22726463,44.22599520,1023,950,43.19,14
TV010,RS25                     ,Reference Stand RS25; Middle Santiam RNA; Willamette NF     ,-122.25683100,-122.25683100,44.51405500,44.51405500,,,,
TV010,RS27                     ,Reference Stand RS27; H.J. Andrews EF; Willamette NF        ,-122.17802149,-122.17624662,44.25443528,44.25316474,808,794,19.72,135
TV010,RS28                     ,Reference Stand RS28; H.J. Andrews EF; Willamette NF        ,-122.16954395,-122.16819882,44.24323888,44.24227191,1083,1043,24.47,92
TV010,RS29                     ,Reference Stand RS29; H.J. Andrews EF; Willamette NF        ,-122.15384910,-122.15215947,44.23259697,44.23138213,860,779,38.08,253
TV010,RS30                     ,Reference Stand RS30; H.J. Andrews EF; Willamette NF        ,-122.14993666,-122.14821556,44.23124990,44.23001240,909,874,30.14,7
TV010,RS31                     ,Reference Stand RS31; H.J. Andrews EF; Willamette NF        ,-122.18451674,-122.18313160,44.26140908,44.26041366,908,889,31.14,155
TV010,RS32                     ,Reference Stand RS32; H.J. Andrews EF; Willamette NF        ,-122.19098031,-122.19098031,44.23572829,44.23572829,660,633,49.69,132
TV010,RS33                     ,Reference Stand RS33; H.J. Andrews EF; Willamette NF        ,-122.16074778,-122.16074778,44.24835204,44.24835204,1115,1115,80.13,360
TV010,RS34                     ,Reference Stand RS34; H.J. Andrews EF; Willamette NF        ,-122.16675812,-122.16675812,44.21786432,44.21786432,779,779,74.73,83
TV010,RS36                     ,Reference Stand RS36; Wildcat Mtn RNA; Willamette NF        ,-122.09045600,-122.09045600,44.33132800,44.33132800,,,,
TV010,RS37                     ,Reference Stand RS37; South Fork Hagan Creek; Willamette NF ,-122.42557977,-122.42557977,44.16533518,44.16533518,,,,
TV010,ARNA                     ,Reference Stand ARNA; Ashland Research Natural Area         ,-122.70614500,-122.70614500,42.15192400,42.15192400,,,,
TV010,MRNA                     ,Reference Stand MRNA; Metolius RNA; Deschutes NF            ,-121.63325593,-121.63325593,44.49076908,44.49076908,,,,
TV010,PF28                     ,Reference Stand PF28; Pringle Falls RNA; Deschutes NF       ,-121.60590486,-121.60590486,43.70822744,43.70822744,,,,
TV010,PF29                     ,Reference Stand PF29; Pringle Falls RNA; Deschutes NF       ,-121.61548044,-121.61548044,43.70581376,43.70581376,,,,
TV010,BR01                     ,Reference Stand BR01; Sublette County; WY; Bridger-Teton NF ,,,,,,,,
TV010,BR02                     ,Reference Stand BR02; Sublette County; WY; Bridger-Teton NF ,,,,,,,,
TV010,FRA3                     ,Reference Stand FRA3; Fraser EF; CO; lodgepole pine         ,-105.86428500,-105.86428500,39.90670600,39.90670600,,,,
TV010,FRC3                     ,Reference Stand FRC3; Fraser EF; CO; lodgepole pine         ,-105.85903000,-105.85903000,39.90398200,39.90398200,,,,
TV010,FRD1                     ,Reference Stand FRD1; Fraser EF; CO; spruce-fir             ,-105.86349500,-105.86349500,39.89871600,39.89871600,,,,
TV010,FRD2                     ,Reference Stand FRD2; Fraser EF; CO; lodgepole pine         ,-105.86309300,-105.86309300,39.89788500,39.89788500,,,,
TV010,FA3I                     ,Reference Stand FA3I; Fraser EF; CO; lodgepole pine         ,-105.86551330,-105.86369000,39.90812400,39.90633400,,,,
TV010,FB2I                     ,Reference Stand FB2I; Fraser EF; CO; lodgepole pine         ,-105.86980800,-105.86859800,39.90831000,39.90479600,,,,
TV010,FC3I                     ,Reference Stand FC3I; Fraser EF; CO; lodgepole pine         ,-105.85950100,-105.85785000,39.90510500,39.89785600,,,,
TV010,FD1I                     ,Reference Stand FD1I; Fraser EF; CO; spruce-fir             ,-105.86453300,-105.86289700,39.99895000,39.89736500,,,,
TV010,FD2I                     ,Reference Stand FD2I; Fraser EF; CO; lodgepole pine         ,-105.86444400,-105.86220900,39.89878600,39.89711400,,,,
TV010,FRB2                     ,Reference Stand FRB2; Fraser EF; CO; lodgepole pine         ,-105.86863100,-105.86863100,39.90668800,39.90668800,,,,
TV010,PF27                     ,Reference Stand PF27; Pringle Falls RNA; Deschutes NF       ,-121.61135773,-121.61135773,43.70697926,43.70697926,,,,
TV010,MUN2                     ,Reference Stand MUN2; T. T. Munger RNA; Gifford Pinchot NF  ,-121.97035400,-121.97035400,45.82851500,45.82851500,,,,
TV010,AB08                     ,Reference Stand AB08; White River; Mt. Rainier NP           ,-121.53767800,-121.53767800,46.92059540,46.92059540,,,,
TV010,AE10                     ,Reference Stand AE10; Nisqually River; Mt. Rainier NP       ,-121.74354233,-121.74354233,46.76763350,46.76763350,1428,1428,,
TV010,AG05                     ,Reference Stand AG05; Nisqually River; Mt. Rainier NP       ,-121.80521225,-121.80521225,46.74764989,46.74764989,968,968,,
TV010,AM16                     ,Reference Stand AM16; Nisqually River; Mt. Rainier NP       ,-121.75847340,-121.75847340,46.76848075,46.76848075,,,,
TV010,AO03                     ,Reference Stand AO03; Ohanapecosh River; Mt. Rainier NP     ,-121.54801780,-121.54801780,46.82607494,46.82607494,,,,
TV010,AR07                     ,Reference Stand AR07; Nisqually River; Mt. Rainier NP       ,-121.74737580,-121.74737580,46.77574944,46.77574944,1435,1435,,
TV010,AR19                     ,Reference Stand AR19; White River; Mt. Rainier NP           ,-121.59531073,-121.59531073,46.91084487,46.91084487,,,,
TV010,AV02                     ,Reference Stand AV02; Ohanapecosh River; Mt. Rainier NP     ,-122.55019658,-122.55019658,46.82318258,46.82318258,,,,
TV010,AV06                     ,Reference Stand AV06; Nisqually River; Mt. Rainier NP       ,-121.78509240,-121.78509240,46.77602294,46.77602294,1071,1071,,
TV010,AV14                     ,Reference Stand AV14; Carbon River; Mt. Rainier NP          ,-121.84712600,-121.84712600,46.96037775,46.96037775,,,,
TV010,AX15                     ,Reference Stand AX15; Nisqually River; Mt. Rainier NP       ,-121.82422280,-121.82422280,46.74979152,46.74979152,1072,1072,,
TV010,PP17                     ,Reference Stand PP17; White River; Mt. Rainier NP           ,-121.60247527,-121.60247527,46.89456539,46.89456539,,,,
TV010,TA01                     ,Reference Stand TA01; Ohanapecosh River; Mt. Rainier NP     ,-121.55873458,-121.55873458,46.74178086,46.74178086,,,,
TV010,TB13                     ,Reference Stand TB13; Nisqually River; Mt. Rainier NP       ,-121.84874419,-121.84874419,46.74005371,46.74005371,,,,
TV010,TO04                     ,Reference Stand TO04; Nisqually River; Mt. Rainier NP       ,-121.88923161,-121.88923161,46.74264071,46.74264071,,,,
TV010,TO11                     ,Reference Stand TO11; Carbon River; Mt. Rainier NP          ,-121.88730592,-121.88730592,46.99660843,46.99660843,,,,
TV010,CCNF                     ,Reference Stand CCNF; Cushman Crest; Mt. Rainier NP         ,-121.77117837,-121.77117837,46.78177754,46.78177754,,,,
TV010,SRNF                     ,Reference Stand SRNF; Sunrise Ridge; Mt. Rainier NP         ,-121.56100000,-121.56100000,46.92400000,46.92400000,,,,
TV010,ABCO                     ,Reference Stand ABCO; Suwanee Creek; Sequoia NP; white fir  ,-118.79624600,-118.79624600,36.60124500,36.60124500,,,,
TV010,LMCC                     ,Reference Stand LMCC; Crescent Creek; Sequoia NP            ,-118.73998200,-118.73998200,36.56212100,36.56212100,,,,
TV010,PIJE                     ,Reference Stand PIJE; Sequoia NP; Jeffrey pine              ,-118.74360900,-118.74360900,36.60700000,36.60700000,,,,
TV010,PILA                     ,Reference Stand PILA; Suwanee Creek; Sequoia NP; sugar pine ,-118.79813500,-118.79813500,36.60510200,36.60510200,,,,
TV010,SUCR                     ,Reference Stand SUCR; Suwanee Cr; Sequoia NP; mixed conifer ,-118.79732500,-118.79732500,36.60531100,36.60531100,,,,
TV010,UCRS                     ,Reference Stand UCRS; Upper Crescent Cr; Sequoia NP; SEGI   ,-118.73521700,-118.73521700,36.56544200,36.56544200,,,,
TV010,TCNF                     ,Reference Stand TCNF; Three Corner Rock; Washington DNR     ,-122.03941300,-122.03941300,45.73345300,45.73345300,,,,
TV010,RS39,Reference Stand RS39; H.J. Andrews EF; Willamette NF        ,,,,,,,,
TV010,CH11                     ,Reference Stand CH11; Cascade Head EF; hemlock-spruce       ,-123.90952468,-123.90952468,45.04168140,45.04168140,,,,
TV010,CH15                     ,Reference Stand CH15; Cascade Head EF; alder-conifer        ,-123.90957998,-123.90957998,45.04111037,45.04111037,,,,
TV010,CH17                     ,Reference Stand CH17; Cascade Head EF; alder-conifer        ,-123.91009245,-123.91009245,45.04114413,45.04114413,,,,
TV010,CH22                     ,Reference Stand CH22; Cascade Head EF; alder-conifer        ,-123.91119331,-123.91119331,45.04147830,45.04147830,,,,
TV010,CH23                     ,Reference Stand CH23; Cascade Head EF; alder-conifer        ,-123.91128765,-123.91128765,45.04112293,45.04112293,,,,
TV010,RS06                     ,Reference Stand RS06; H.J. Andrews EF; Willamette NF        ,-122.25780000,-122.25780000,44.21950000,44.21950000,644,644,70.38,173
TV010,RS09                     ,Reference Stand RS09; H.J. Andrews EF; Willamette NF        ,-122.26083000,-122.26083000,44.21690000,44.21690000,472,472,66.83,245
TV010,RS11                     ,Reference Stand RS11; H.J. Andrews EF; Willamette NF        ,-122.17770800,-122.17770800,44.26556300,44.26556300,,,,
TV010,ALCO                     ,Alder-conifer study at Cascade Head Experimental Forest     ,-123.91075500,-123.91075500,45.04053500,45.04053500,183,152,,
TV010,DFGY                     ,Douglas-fir Growth And Yield Study                          ,-123.96900000,-121.80100000,47.99100000,43.74800000,762,61,,
TV010,HSGY                     ,Hemlock-spruce Growth And Yield Study                       ,-123.99500000,-123.87300000,47.83400000,45.04400000,402,125,,
TV010,LTER                     ,H. J. Andrews WS 2 and Hagan Block: LTER Study transects    ,-122.42000000,-122.24300000,44.21200000,44.17900000,700,550,,
TV010,MHGY                     ,Mountain Hemlock Growth and Yield Study                     ,-121.98200000,-121.84900000,44.42300000,43.76400000,1659,1464,,
TV010,MSHV                     ,Mt. St. Helens Volcanic study area                          ,-122.00500000,-122.00500000,46.10400000,46.10400000,363,363,,
TV010,MRRS                     ,Mt Rainier Reference Stands                                 ,-121.88700000,-121.53800000,46.99500000,46.74100000,1610,610,,
TV010,NFGY                     ,Noble Fir Growth and Yield Study                            ,-123.55700000,-121.56100000,46.92400000,44.27800000,3100,1021,,
TV010,HJRS                     ,Andrews Forest and vicinity Reference Stands                ,-122.25882600,-122.11525700,44.27566300,44.20057900,1305,461,,
TV010,PPGY                     ,Ponderosa Pine Growth and Yield Study                       ,-122.70500000,-121.60300000,44.48800000,42.15200000,1400,850,,
TV010,RMRS                     ,Rocky Mountain Reference Stands                             ,,,,,2900,2480,,
TV010,SQNP                     ,Sequoia National Park Reference Stands                      ,-118.80000000,-118.73000000,36.60000000,36.57000000,2440,2012,,
